prompt,kind,pos,pending,draft,accepted_batch,accepted_draft,bonus,next_model_id,tier,rule_chain,rule_conf,rule_support,ctx_tail_ids,ctx_tail_text,draft_ids,draft_text,model_draft_ids,model_draft_text,next_model_text,mismatch_at,why,rule_strikes,draft_mistakes,passes_saved_est,pattern_s,decode_s,verify_s
implement linked lsit in python only code no comments,spec_eval,1,1,0,1,0,73594,73594,none,,,,94474 10592 19597 275 304 10135 1172 2038 902 6042 198,implement linked lsit in python only code no comments\n,,,,,```,,no_pattern_fired,0,0,0,3.149999974993989e-05,0.026468199997907504,0.00011749999976018444
implement linked lsit in python only code no comments,spec_eval,2,1,0,1,0,12669,12669,none,,,,94474 10592 19597 275 304 10135 1172 2038 902 6042 198 73594,implement linked lsit in python only code no comments\n```,,,,,python,,no_pattern_fired,0,0,0,5.130000499775633e-05,0.026218200000585057,6.510000093840063e-05
implement linked lsit in python only code no comments,spec_eval,3,1,0,1,0,198,198,none,,,,10592 19597 275 304 10135 1172 2038 902 6042 198 73594 12669, linked lsit in python only code no comments\n```python,,,,,\n,,no_pattern_fired,0,0,0,5.699999746866524e-05,0.025229799997759983,6.479999865405262e-05
implement linked lsit in python only code no comments,spec_eval,4,1,1,1,0,1040,1040,det_ctx4,det_ctx4,1.000,8,19597 275 304 10135 1172 2038 902 6042 198 73594 12669 198, lsit in python only code no comments\n```python\n,750,def,1040,class,class,0,draft_token_mismatch,1,0,0,0.00018139999883715063,0.031206900006509386,0.0001731000011204742
implement linked lsit in python only code no comments,spec_eval,5,1,0,1,0,6018,6018,none,,,,275 304 10135 1172 2038 902 6042 198 73594 12669 198 1040,it in python only code no comments\n```python\nclass,,,,, Node,,no_pattern_fired,1,0,0,6.910000229254365e-05,0.02628819999517873,7.159999950090423e-05
implement linked lsit in python only code no comments,spec_eval,6,1,8,9,8,821,821,det_ctx5,det_ctx5|syntax_indent|det_ctx7|det_ctx8|syntax_dunder_init|syntax_dunder_paren|syntax_dunder_self|det_ctx8,1.000|0.980|1.000|1.000|1.000|1.000|1.000|1.000,4|999|4|4|999|999|999|5,304 10135 1172 2038 902 6042 198 73594 12669 198 1040 6018, in python only code no comments\n```python\nclass Node,510 262 707 1304 2327 3804 721 11,":\n    def __init__(self,",510 262 707 1304 2327 3804 721 11,":\n    def __init__(self,", data,,draft_accepted,1,0,8,0.0002361999941058457,0.03741890000674175,0.0004065999964950606
implement linked lsit in python only code no comments,spec_eval,15,1,12,13,12,271,271,det_ctx8,det_ctx8|syntax_indent|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8,1.000|0.980|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000,2|999|2|2|2|2|2|2|2|2|2|2,198 1040 6018 510 262 707 1304 2327 3804 721 11 821,"\nclass Node:\n    def __init__(self, data",982 286 656 2196 284 821 198 286 656 4529 284 2240,):\n        self.data = data\n        self.next = None,982 286 656 2196 284 821 198 286 656 4529 284 2240,):\n        self.data = data\n        self.next = None,\n\n,,draft_accepted,1,0,12,0.00033999999868683517,0.039264400002139155,0.0005776000034529716
implement linked lsit in python only code no comments,spec_eval,28,1,1,2,1,22917,22917,det_ctx8,det_ctx8,1.000,2,286 656 2196 284 821 198 286 656 4529 284 2240 271,        self.data = data\n        self.next = None\n\n,1040,class,1040,class, LinkedList,,draft_accepted,1,0,1,8.140000136336312e-05,0.027165499996044673,0.00011749999976018444
implement linked lsit in python only code no comments,spec_eval,30,1,0,1,0,510,510,none,,,,2196 284 821 198 286 656 4529 284 2240 271 1040 22917,.data = data\n        self.next = None\n\nclass LinkedList,,,,,:\n,,no_pattern_fired,1,0,0,5.510000482900068e-05,0.026578600001812447,7.249999907799065e-05
implement linked lsit in python only code no comments,spec_eval,31,1,1,2,1,707,707,syntax_indent,syntax_indent,0.980,999,284 821 198 286 656 4529 284 2240 271 1040 22917 510, = data\n        self.next = None\n\nclass LinkedList:\n,262,   ,262,   , def,,draft_accepted,1,0,1,8.460000390186906e-05,0.027278000001388136,0.0001472999938414432
